Comuna;Region;PctPobreza;RemunMedia;TasaNatalidad;TasaMortalidad;TasaMortalidadInfantil;PctDesnutridos;PctSobrePesoInfantil;PctObesidadInfantil
La Granja;13;15,9;476984,0938;16,5;5,060150146;7,156300068;2,918828726;22,19236565;7,690882206
La Pintana;13;15,2;408546,9063;17,10000038;4,368919849;7,201600075;2,931228876;23,78211594;9,879547119
La Reina;13;7,1;1039262,313;10,89999962;4,362774849;5,173399925;2,738095284;26,19047546;8,75
Las Condes;13;1,4;1299980,25;13,30000019;3,502020836;4,90500021;3,058104038;22,5688076;8,868501663
Lo Barnechea;13;10,3;1075098,875;12,10000038;3,624348164;6,115600109;4,517965317;21,2735672;7,541800022
Lo Espejo;13;21,9;442167,125;15,89999962;5,534605503;9,10340023;4,334479332;20,75147438;9,503929138
Lo Prado;13;12,5;501279,375;16;4,83468008;7,969799995;2,471390247;23,5086441;8,339420319
Macul;13;9,3;669888,3125;15,60000038;4,266624928;7,150499821;3,477218151;23,5868454;8,633093834
Maipú;13;9,2;626771,8125;9,100000381;3,053514004;7,60890007;3,370732784;20,87849045;9,142993927
Ñuñoa;13;5,2;996241,875;17,79999924;4,96638298;5,246399879;3,90153265;21,31908989;8,058523178
Pedro Aguirre Cerda;13;12,3;507476,125;16,39999962;5,554644108;8,400500298;3,221266747;19,79671669;9,569976807
Peñalolén;13;13,8;626085,625;16,10000038;4,342597961;7,598800182;2,397692442;21,26074219;8,905714989
Providencia;13;0,2;907876,8125;14,89999962;4,860671997;7,695700169;4,770531178;19,08212471;7,789855003
Pudahuel;13;10,9;522351,6875;13,39999962;4,035527229;7,228600025;3,227980375;22,57564545;7,682458401
Quilicura;13;10,9;593385,5625;16;4,17697382;7,387899876;2,332739353;20,82455826;8,97456646
Quinta Normal;13;11,4;541274,8125;16,89999962;6,001634121;7,98390007;3,185595512;23,2489109;8,864266396
Recoleta;13;11,5;533543,875;19,29999924;6,040966034;8,65929985;3,838531256;19,56816483;9,01220417
Renca;13;20,7;480285,5;17,20000076;5,010719776;7,821899891;2,741301775;16,53407478;7,073708534
San Joaquín;13;26,9;541875,5625;14,89999962;5,410006523;6,75579977;4,495747089;24,30133629;9,335763931
San Miguel;13;13;750198;18,29999924;6,609254837;8,592900276;2,214597702;20,67997551;7,64192152
San Ramón;13;17,7;464810,5313;17,70000076;5,257241249;7,128499985;2,689611197;20,62460136;9,636711121
Vitacura;13;0,1;1425074,375;15,5;3,52457881;6,187900066;4,844290733;20,06920433;5,53633213
Puente Alto;13;15,4;549812,0625;12;3,781189919;7,752799988;3,446990013;21,69875336;8,558161736
Pirque;13;4,1;597323,125;13,10000038;4,379898071;7,96089983;3,037036896;22,07407379;9,481481552
San José De Maipo;13;9,6;603030,125;13,69999981;4,902607918;8,059800148;2,497285366;22,25841522;7,709012032
Colina;13;7,7;581304,25;17,79999924;4,416444778;7,662199974;3,321655512;21,73348999;9,666537285
Lampa;13;19,9;552988,75;21,10000038;4,751596928;7,409900188;4,595499992;19,41120148;10,17233086
Tiltil;13;10,1;534640,9375;13;4,540477753;8,329400063;0,719424486;17,57451248;6,783144951
San Bernardo;13;18,8;499554,25;15,89999962;5,330136299;9,132300377;2,871549845;20,75902367;9,219745636
Buin;13;12,6;449526,6563;17,20000076;5,02723217;8,08010006;2,950075626;24,41376686;10,98714066
Calera De Tango;13;1,5;581180,0625;13,10000038;3,890275955;10,54570007;4,166666508;22,5;9,621212006
Paine;13;7;419713,3438;15,5;4,138288975;8,923999786;1,309946775;20,9591465;8,858792305
Melipilla;13;14,7;436568,375;15,39999962;5,203990936;7,34980011;3,453155994;25,96943092;10,30285835
Alhué;13;6;587170,625;20,5;4,585497856;6,427599907;2,721088409;12,6984129;7,709750652
Curacaví;13;11,4;467443,3125;13,30000019;4,487413883;6,444399834;4,576976299;21,86777687;9,015256882
María Pinto;13;9,2;383175,4688;14,30000019;4,645158291;7,182300091;3,731343269;22,88557243;7,21393013
San Pedro;13;3,3;557524,875;12,69999981;4,483465672;3,246400118;1,789264441;14,71173;7,952286243
Talagante;13;8,6;500255,625;13;4,480998993;6,451300144;5,777777672;20,51851845;8,049383163
El Monte;13;8,8;453161,9375;16,60000038;4,778430939;9,372400284;0,564481139;11,89752483;6,600086689
